Time,V_mps,alt_m,pitch_deg,q_degps,alpha_deg,vpath_deg,beta_deg,p_degps,r_degps,roll_deg
989.32324,57.71595593736,3408.246216768,-11.41407,4.86685,3.21941,-14.62929,0.18253,0.43889,0.33166,1.09278
989.33783,57.73551509824,3408.033987576,-11.34348,4.8327,3.23003,-14.56926,0.18406,0.43675,0.33753,1.0979
989.35138,57.75353092712,3407.837534832,-11.27832,4.8001,3.23913,-14.51315,0.18555,0.43541,0.34287,1.10264
989.36639,57.77328043228,3407.62143468,-11.2068,4.7633,3.24834,-14.45078,0.18726,0.43452,0.34858,1.10785
989.38098,57.79228913808,3407.41129032,-11.13785,4.72697,3.25645,-14.38988,0.18896,0.43415,0.354,1.1129
989.39526,57.81076796656,3407.206501296,-11.07074,4.69099,3.26361,-14.32987,0.1907,0.43414,0.3593,1.11785
989.40845,57.82760057424,3407.018979192,-11.0095,4.65779,3.26953,-14.2745,0.19238,0.43448,0.36402,1.12239
989.42297,57.84605368052,3406.81240404,-10.94233,4.62106,3.27534,-14.21307,0.19424,0.43512,0.36912,1.12742
989.43658,57.86318466572,3406.619523552,-10.87991,4.5868,3.2801,-14.15535,0.19604,0.43594,0.37377,1.13213
989.45099,57.8812004946,3406.416523704,-10.81418,4.55071,3.28447,-14.09393,0.19801,0.43702,0.37854,1.13714
989.46503,57.89850124632,3406.219177896,-10.75095,4.51611,3.28804,-14.03421,0.19998,0.43829,0.383,1.14201
989.47968,57.91645534192,3406.014090168,-10.68526,4.48042,3.29112,-13.97153,0.20206,0.43977,0.38751,1.14713
989.49286,57.93246998364,3405.83014032,-10.62659,4.44892,3.29334,-13.91501,0.20399,0.44121,0.39141,1.15176
989.50641,57.9487984362,3405.641426448,-10.56665,4.41717,3.29509,-13.85676,0.20597,0.44284,0.39517,1.15653
989.52075,57.9658522548,3405.443781936,-10.50395,4.38451,3.29638,-13.79528,0.20812,0.44463,0.39896,1.16159
989.53534,57.9831375732,3405.242269512,-10.44031,4.35207,3.29713,-13.73232,0.21036,0.44647,0.40278,1.16678
989.55011,58.00041260272,3405.03956532,-10.37651,4.32039,3.29736,-13.66867,0.21264,0.44831,0.40649,1.17206
989.56451,58.01706001056,3404.843408232,-10.3149,4.2907,3.29709,-13.60671,0.2149,0.4504,0.40984,1.17721
989.57947,58.03428359568,3404.638027896,-10.25098,4.26092,3.29632,-13.54194,0.21729,0.45252,0.41318,1.18263
989.59418,58.05095158128,3404.44067904,-10.18897,4.23312,3.29512,-13.47866,0.21963,0.45455,0.41628,1.18796
989.60968,58.0684066662,3404.231427744,-10.12377,4.2051,3.2934,-13.41166,0.22216,0.45671,0.41936,1.19363
989.6239,58.08423096364,3404.039739024,-10.0644,4.18066,3.29146,-13.35028,0.22446,0.45863,0.42211,1.19885
989.63745,58.0992218618,3403.858166616,-10.008,4.15856,3.28931,-13.29164,0.22669,0.46043,0.42458,1.20386
989.65393,58.11721196848,3403.63998468,-9.93998,4.13328,3.28631,-13.22053,0.22943,0.46269,0.42726,1.20999
989.66803,58.13249609972,3403.451865168,-9.88193,4.11309,3.28345,-13.15955,0.23179,0.46455,0.42939,1.21527
989.68225,58.1476567644,3403.265830488,-9.82398,4.0942,3.28035,-13.09842,0.23416,0.46627,0.43152,1.22059
989.69629,58.16259107372,3403.080987576,-9.76664,4.07676,3.27706,-13.03771,0.23652,0.46797,0.43349,1.22591
